sample_index,sample_id,final_class,final_intensity,phi_text_cls,phi_audio_cls,phi_vision_cls,abs_share_text_cls,abs_share_audio_cls,abs_share_vision_cls,phi_text_reg,phi_audio_reg,phi_vision_reg,abs_share_text_reg,abs_share_audio_reg,abs_share_vision_reg,main_modality_cls,main_modality_reg
1,01,Neutral,0.05829983747899535,0.2762341946363449,-0.06751741468906403,-0.08575758337974548,0.6431391907971843,0.15719666967736537,0.1996641395254503,0.2078961326411615,-0.1812485215359678,0.15021983005727332,0.38544646286130296,0.3360408904068643,0.2785126467318327,T,T
2,02,Positive,-0.18118225627243517,0.1930676152308782,0.02785000701745351,0.005642299850781758,0.8521702048715246,0.12292556759120851,0.024904227537266777,0.1622526894826442,-0.2416781422123313,0.01917548519931733,0.38347971420899574,0.571199560399641,0.04532072539136317,T,A
3,03,Neutral,-0.038807601547241194,0.15166564782460532,-0.021920646230379738,0.05988276501496633,0.6496177627510105,0.09389101201548053,0.25649122523350903,0.01807798569959898,0.021623459234212834,0.24676501618822416,0.06310681407097662,0.07548338869938824,0.8614097972296351,T,V
4,04,Negative,-0.04927407988011835,0.41973562290271116,-0.1949740226070086,-0.0889017234245936,0.5965446856528781,0.27710470753523414,0.12635060681188787,-0.9116786217093469,0.5924149906039238,0.43293624426424504,0.47065801211766894,0.3058367885204647,0.22350519936186636,T,T
5,05,Positive,0.4954915696620942,0.1653863514463107,0.07639377812544504,0.16360400865475339,0.40797440218023723,0.18844787183745182,0.403577725982311,0.17524393714405598,0.04918234581127764,0.3569342400003225,0.30143762815732655,0.08459870230134128,0.6139636695413322,T,V
6,06,Positive,0.4558088762998581,0.45138071229060495,-0.013685258726278942,-0.020732382933298744,0.9291524119426984,0.028170656847639974,0.04267693120966152,0.4508281144623955,0.288610716757675,0.04220504378279051,0.5767692025485971,0.3692355636467037,0.05399523380469913,T,T
7,07,Positive,0.6092164231777192,0.4737303430835406,-0.023632106681664784,0.05699981997410457,0.8545501181137622,0.04262935623807485,0.10282052564816299,1.0898521456345915,-0.10304343249648812,0.4207397790551186,0.6754017509476479,0.06385794165800364,0.26074030739434845,T,T
8,08,Positive,0.30598683577179914,0.4030749549468359,0.04656964292128881,0.02734155704577764,0.8450453976375737,0.09763311249504673,0.05732148986737967,0.4356011066287756,-0.09479637048393488,0.12439479535073045,0.6652508359482763,0.14477319673809627,0.18997596731362737,T,T
9,09,Negative,-1.8815116334915163,0.5593747446934382,0.0005536029736200969,0.0022575954596201577,0.9949995220129388,0.000984732863545385,0.004015745123515922,-1.993909467427681,0.06098733839889363,0.16306001792227226,0.8989847981159185,0.027497080982762902,0.07351812090131857,T,T
10,10,Negative,-1.805665885424614,0.5048432548840841,-0.04469395677248637,-0.03403056661287943,0.8650978921097724,0.07658743069232637,0.05831467719790134,-1.5582165206136804,0.15805810445298749,-0.056971504739175234,0.8787367384719984,0.08913489323125924,0.03212836829674241,T,T
11,11,Negative,-1.4091907115936277,0.6670495768388113,7.839252551396659e-05,-0.008337947229544321,0.987539949021412,0.00011605696688483077,0.012343994011703174,-1.4205695396513522,-0.09708933231964079,0.18023699025802015,0.836664704386767,0.05718214790404225,0.1061531477091907,T,T
12,12,Negative,-1.1311477428436278,0.3624075551827749,-0.011141950885454813,0.00590026875336965,0.9550870213407375,0.029363440499321075,0.01554953815994145,-0.6079660224616527,0.06722306835651405,-0.12002701953053482,0.7645293078821808,0.08453433913334175,0.1509363529844775,T,T
13,13,Neutral,0.13068119465708736,0.3305002450942993,-0.012787654995918274,0.045346960425376885,0.8504132765028617,0.03290403485408678,0.11668268864305156,0.18727388593616584,-0.10083823369381328,0.3927815069394808,0.27504132602871634,0.14809689760479275,0.5768617763664909,T,V
14,14,Neutral,0.2009068416297436,0.344757134715716,0.008136967817942303,-0.07171234985192618,0.8119451147733444,0.019163551972010858,0.1688913332546447,0.027491295328984658,0.07844339231277508,0.4208071526909869,0.05219121251430911,0.1489218936229213,0.7988868938627697,T,V
15,15,Positive,0.9276021048069001,0.4512141595284144,0.10594805578390758,0.060847471157709755,0.7301085555886259,0.17143429642513405,0.09845714798624008,0.4851893836868306,0.4213868973565599,0.1270825937067469,0.4693902365072942,0.4076653407135117,0.12294442277919407,T,T
16,16,Negative,-1.965276649093628,0.6436190654834112,-0.014503176013628641,-0.027847597996393837,0.9382614634467062,0.021142585546237373,0.04059595100705649,-1.9172844306602301,0.04298788563903269,0.06823259165134124,0.9451712062147586,0.02119190615242992,0.03363688763281157,T,T
17,17,Positive,1.16209076693058,0.7030491158366203,-0.02514992654323578,0.030699424445629116,0.9264073477147926,0.03314004131335161,0.04045261097185573,1.2283077602203314,-0.030894220557684843,0.013420629840654591,0.9651783254292519,0.024276026765441466,0.010545647805306797,T,T
18,18,Negative,-0.40889593083262443,-0.14189878106117249,0.028897136449813843,-0.027434408664703373,0.7158278140318899,0.14577555819689555,0.13839662777121453,0.3779463252772888,-0.08023064420620601,0.0917204571117957,0.687303316942865,0.14590110869031866,0.16679557436681633,T,T
19,19,Positive,0.3704162600874901,0.18125667174657187,-0.030744860569636025,0.0935570498307546,0.5931977772412691,0.1006185470347839,0.30618367572394706,0.4191615031336745,-0.13586857096354166,0.4156859687094887,0.4318065063823619,0.13996736941803758,0.4282261241996005,T,T
20,20,Positive,0.8456849290370941,0.4497475028038025,0.05402579158544541,0.06297183781862258,0.7935621803256077,0.09532643249175692,0.11111138718263538,0.9609933260927599,0.13682911014805238,0.2855952805603544,0.6946515968545167,0.09890657643480094,0.20644182671068245,T,T
