scenario_id,scenario,modality_combination,missing_rate_percent,replicate,sample_index,sample_id,target_missing_rate,actual_missing_rate,content_length,gap_count,primitive_gap_count,segments_json,primitive_segments_json
1,A_10_MG1,A,10,1,0,-UacrmKiTn4$_$7,0.1,0.10714285714285714,28,1,1,"[[8, 10]]","[[8, 10]]"
1,A_10_MG1,A,10,1,1,-qDkUB0GgYY$_$5,0.1,0.1,50,4,4,"[[14, 14], [17, 17], [23, 24], [49, 49]]","[[49, 49], [23, 24], [14, 14], [17, 17]]"
1,A_10_MG1,A,10,1,2,0utROiKxejc$_$1,0.1,0.1111111111111111,18,2,2,"[[4, 4], [11, 11]]","[[11, 11], [4, 4]]"
1,A_10_MG1,A,10,1,3,0utROiKxejc$_$4,0.1,0.11428571428571428,35,3,3,"[[8, 8], [18, 18], [25, 26]]","[[8, 8], [25, 26], [18, 18]]"
1,A_10_MG1,A,10,1,4,0y022OlZ3W0$_$3,0.1,0.10526315789473684,19,2,2,"[[1, 1], [8, 8]]","[[8, 8], [1, 1]]"
1,A_10_MG1,A,10,1,5,0y022OlZ3W0$_$5,0.1,0.08333333333333333,24,2,2,"[[11, 11], [23, 23]]","[[23, 23], [11, 11]]"
1,A_10_MG1,A,10,1,6,0y022OlZ3W0$_$8,0.1,0.13333333333333333,15,2,2,"[[2, 2], [10, 10]]","[[10, 10], [2, 2]]"
1,A_10_MG1,A,10,1,7,101787$_$11,0.1,0.08823529411764706,34,2,2,"[[15, 16], [27, 27]]","[[15, 16], [27, 27]]"
1,A_10_MG1,A,10,1,8,101787$_$13,0.1,0.09523809523809523,21,2,2,"[[1, 1], [18, 18]]","[[18, 18], [1, 1]]"
1,A_10_MG1,A,10,1,9,101787$_$1,0.1,0.1111111111111111,18,1,1,"[[8, 9]]","[[8, 9]]"
1,A_10_MG1,A,10,1,10,101787$_$5,0.1,0.10526315789473684,19,2,2,"[[3, 3], [13, 13]]","[[3, 3], [13, 13]]"
1,A_10_MG1,A,10,1,11,101787$_$7,0.1,0.1,10,1,1,"[[7, 7]]","[[7, 7]]"
1,A_10_MG1,A,10,1,12,101787$_$9,0.1,0.09523809523809523,21,2,2,"[[15, 15], [18, 18]]","[[18, 18], [15, 15]]"
1,A_10_MG1,A,10,1,13,102408$_$2,0.1,0.1111111111111111,9,1,1,"[[5, 5]]","[[5, 5]]"
1,A_10_MG1,A,10,1,14,102408$_$5,0.1,0.0967741935483871,31,3,3,"[[4, 4], [16, 16], [18, 18]]","[[4, 4], [18, 18], [16, 16]]"
1,A_10_MG1,A,10,1,15,102408$_$9,0.1,0.0967741935483871,31,3,3,"[[4, 4], [11, 11], [24, 24]]","[[11, 11], [4, 4], [24, 24]]"
1,A_10_MG1,A,10,1,16,102858$_$20,0.1,0.11538461538461539,26,3,3,"[[10, 10], [17, 17], [21, 21]]","[[10, 10], [17, 17], [21, 21]]"
1,A_10_MG1,A,10,1,17,102858$_$21,0.1,0.10344827586206896,29,2,2,"[[8, 8], [16, 17]]","[[8, 8], [16, 17]]"
1,A_10_MG1,A,10,1,18,102858$_$1,0.1,0.08333333333333333,24,1,1,"[[13, 14]]","[[13, 14]]"
1,A_10_MG1,A,10,1,19,102858$_$0,0.1,0.2,5,1,1,"[[3, 3]]","[[3, 3]]"
1,A_10_MG1,A,10,1,20,102858$_$4,0.1,0.1,50,4,4,"[[1, 1], [13, 14], [18, 18], [23, 23]]","[[18, 18], [13, 14], [23, 23], [1, 1]]"
1,A_10_MG1,A,10,1,21,102858$_$6,0.1,0.10714285714285714,28,3,3,"[[1, 1], [7, 7], [11, 11]]","[[11, 11], [1, 1], [7, 7]]"
1,A_10_MG1,A,10,1,22,102858$_$10,0.1,0.08333333333333333,12,1,1,"[[6, 6]]","[[6, 6]]"
1,A_10_MG1,A,10,1,23,102858$_$17,0.1,0.09090909090909091,11,1,1,"[[1, 1]]","[[1, 1]]"
1,A_10_MG1,A,10,1,24,102858$_$19,0.1,0.07142857142857142,14,1,1,"[[5, 5]]","[[5, 5]]"
1,A_10_MG1,A,10,1,25,112433$_$10,0.1,0.3333333333333333,3,1,1,"[[1, 1]]","[[1, 1]]"
1,A_10_MG1,A,10,1,26,112433$_$3,0.1,0.08823529411764706,34,3,3,"[[9, 9], [17, 17], [32, 32]]","[[17, 17], [32, 32], [9, 9]]"
1,A_10_MG1,A,10,1,27,112433$_$7,0.1,0.09090909090909091,11,1,1,"[[5, 5]]","[[5, 5]]"
1,A_10_MG1,A,10,1,28,112433$_$6,0.1,0.11538461538461539,26,2,2,"[[0, 0], [22, 23]]","[[22, 23], [0, 0]]"
1,A_10_MG1,A,10,1,29,117tQqLjza4$_$6,0.1,0.11764705882352941,17,1,1,"[[3, 4]]","[[3, 4]]"
1,A_10_MG1,A,10,1,30,11j7EfglCAs$_$2,0.1,0.11538461538461539,26,3,3,"[[0, 0], [14, 14], [17, 17]]","[[0, 0], [17, 17], [14, 14]]"
1,A_10_MG1,A,10,1,31,121128$_$10,0.1,0.11764705882352941,17,2,2,"[[11, 11], [13, 13]]","[[13, 13], [11, 11]]"
1,A_10_MG1,A,10,1,32,121128$_$1,0.1,0.0967741935483871,31,3,3,"[[11, 11], [23, 23], [27, 27]]","[[27, 27], [23, 23], [11, 11]]"
1,A_10_MG1,A,10,1,33,121128$_$0,0.1,0.07692307692307693,13,1,1,"[[12, 12]]","[[12, 12]]"
1,A_10_MG1,A,10,1,34,121128$_$5,0.1,0.1111111111111111,9,1,1,"[[2, 2]]","[[2, 2]]"
1,A_10_MG1,A,10,1,35,125344$_$0,0.1,0.1,50,5,5,"[[12, 12], [17, 17], [19, 19], [21, 21], [29, 29]]","[[29, 29], [17, 17], [12, 12], [19, 19], [21, 21]]"
1,A_10_MG1,A,10,1,36,125676$_$0,0.1,0.13333333333333333,15,2,2,"[[2, 2], [8, 8]]","[[8, 8], [2, 2]]"
