sample_id,aligned_position_0based,aligned_position_1based,attention_valid,token_id,special_token_if_known,word_or_wordpiece,word_index,start_s,end_s,representative_time_s,representative_frame_index,mapping_status
01,0,1,True,101,[CLS],,,,,,,PENDING_Q1_MAPPING_REUSE
01,1,2,True,6419,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,2,3,True,2122,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,3,4,True,4929,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,4,5,True,6177,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,5,6,True,2043,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,6,7,True,6419,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,7,8,True,1996,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,8,9,True,10984,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,9,10,True,5583,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,10,11,True,2003,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,11,12,True,6827,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,12,13,True,2000,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,13,14,True,12725,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,14,15,True,1996,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,15,16,True,2047,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,16,17,True,5583,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,17,18,True,10438,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,18,19,True,2000,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,19,20,True,2049,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,20,21,True,3542,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,21,22,True,4270,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,22,23,True,5918,,,,,,,,PENDING_Q1_MAPPING_REUSE
01,23,24,True,102,[SEP],,,,,,,PENDING_Q1_MAPPING_REUSE
01,24,25,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,25,26,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,26,27,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,27,28,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,28,29,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,29,30,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,30,31,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,31,32,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,32,33,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,33,34,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,34,35,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,35,36,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,36,37,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,37,38,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,38,39,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,39,40,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,40,41,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,41,42,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,42,43,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,43,44,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,44,45,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,45,46,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,46,47,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,47,48,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,48,49,False,0,[PAD],,,,,,,PADDING_OR_INVALID
01,49,50,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,0,1,True,101,[CLS],,,,,,,PENDING_Q1_MAPPING_REUSE
02,1,2,True,2057,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,2,3,True,2215,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,3,4,True,2000,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,4,5,True,2444,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,5,6,True,2011,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,6,7,True,2169,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,7,8,True,2060,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,8,9,True,1521,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,9,10,True,1055,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,10,11,True,8404,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,11,12,True,1011,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,12,13,True,2025,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,13,14,True,2011,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,14,15,True,2169,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,15,16,True,2060,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,16,17,True,1521,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,17,18,True,1055,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,18,19,True,14624,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,19,20,True,1012,,,,,,,,PENDING_Q1_MAPPING_REUSE
02,20,21,True,102,[SEP],,,,,,,PENDING_Q1_MAPPING_REUSE
02,21,22,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,22,23,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,23,24,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,24,25,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,25,26,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,26,27,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,27,28,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,28,29,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,29,30,False,0,[PAD],,,,,,,PADDING_OR_INVALID
02,30,31,False,0,[PAD],,,,,,,PADDING_OR_INVALID
