kind,path,size_bytes,sha256
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\01.pkl,199376,5a08410ee779863238edcf349556a2f8e10490a70e02fc95001a64f6c8d17452
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\02.pkl,199111,88ed34a500bd7f11027ffc97205e23fdcde162b32bee9c447367b026b41608ac
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\03.pkl,199400,237a657ffb78b451b4e504ab8021e6072de404afd83d3b08be1560e98ca62860
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\04.pkl,199256,f7d7291b6ed0050ad3fd439bd3f85ce6fafb230a6399366a76e0b52f017bf4a7
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\05.pkl,199067,c6948e101e25656832290edf03daaf400b9a566e912775193d5f3ecdf9388eec
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\06.pkl,199472,8c432420054ac28bfcacbbee18d0e8397bc87fa0c7e8cbb11f525d6e366fdd57
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\07.pkl,200148,f16e44523bd82862435489552910ef3b801dd5b7501d67b84b83ee1496b0c5a0
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\08.pkl,199075,a1cccd885234d22478f30d0a3b253277e0567abaecc6ac683734b7e3dfc255c4
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\09.pkl,199083,f00ad50bdc14a4c9fe58fb4e421d6c8ee052d281d917766314f2846e48af8ff7
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\10.pkl,199344,693326817b8253fc907a3c1df1b05dd1f10c7bc756a86ce125bb903b01eaf571
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\11.pkl,199067,6e4c4b2fe76d6bbc56d1d21447ec9dff5309adb1227de8adab116ff703f42ffb
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\12.pkl,199572,5d003f471f20ac8d51553c3b217fc594075067a4c806fc07139839d681a97032
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\13.pkl,199352,e2d3d3c55bc52e7178e6e7f9b28e677018f14c76966d9ec5ac486d8fbbfd8281
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\14.pkl,199456,5a07719d0610e979be9cc58f4137c951259048fe6ab9918cafd9e27d62f0b5dd
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\15.pkl,199296,1fd8521f61b769038a991088f11a9693e0ad9f05ad92f9924d502cc147a7cd1f
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\16.pkl,198987,5528f121c021c3648f41e013e829c0a73870eafbbde73415147a074be81d722f
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\17.pkl,199352,7b841ea3fdea42ef7d0ba607d90ea61a86a44066eb4ee3d1a70e8180a7b47796
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\18.pkl,199908,1fc0a00c832183dceeae626937716da6c4c096f621a7706c9268b76dedfa7f06
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\19.pkl,199652,ef099682c44a9e6ba5135a74d4babf12a91ba5ee2895b32d191679244dd1c221
attachment4_feature,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\20.pkl,199516,c9aed197e075fa99518e71cbb2ed17406178d9237d40c785409eacf1fa7f1a68
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,824021,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,142336,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,2973584,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,1200845,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,836064,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,638126,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,3559307,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,1026677,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,741504,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,783573,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,672655,972bbc9b3f3cd620b2e576672301be7ccba0f54dae3a22b42194a3e322fd7905
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4,2233107,5d4da7ef7e6a4a344a2b9657fadfa2207c3565a9f7c1fb806e629c95b453aff3
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\13.mp4,262575,8a64f1201e0299f79d915aa87b4a9be811e346525589d1f41060c2533599a7cb
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,2257001,8f1c4cb4b1c97b31cd065317faef41465cfcda403ef12d1defce4a5d23b8e18e
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,705745,bdd4ea47f2dac729a445cdf34009b9dff6d66bdc8ca997b82814bd55dc7fc675
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,226884,819a4c15dce5b85d8f7717087ea660551c3044daf3cecba1d45d342ae85365e5
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\17.mp4,1951911,8a2f9bad44684ae0ba22f4ad39e848020dbac6acf7e5fe9d974f2448e6902462
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\18.mp4,2262931,0faf17accce9e58d81b2cc4ff6b150f8bc7f1d2f620ba420944f5732f41d6759
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,1091162,26148d75d5b4c1ff6f69a36485cc02a771a74203d2c07d9d08f018bf88658217
attachment4_video,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\20.mp4,971427,0c75c37baddf51add457b20ad35e10166ff7baaa520f77bd6b2af2239c217a1c
final_r2_checkpoint,D:\Desktop\shumo\E题数据\Q2D_R2_AV_MultiGap_outputs\checkpoints\Q2D_R2_AV_MultiGap_best_model.pt,14530447,512515504e0e8a266cb3ef403a7f1aff5275d2df4fd572ccef3d519ebcb824aa
q2_normalization,D:\Desktop\shumo\E题数据\Q2B_outputs\Q2B_normalization_stats.npz,1902,74cd2807f7661742721b96d889255a9e1bf82403a0979c7bacd4d1578dfaaa63
