sample_index,sample_id,baseline,shapley_T,shapley_A,shapley_V,local_T,local_A,local_V,shapley_main,local_main,top1_agreement,spearman_rank,contribution_l1,local_sum_degeneracy_note
0,-UacrmKiTn4$_$7,zero,0.48405750048098983,0.08773374254465802,0.4282087569743521,0.33333333333333326,0.3333333333333333,0.3333333333333333,T,A,False,-0.8660254037844387,0.4911991815773507,within-modality normalization makes each nonzero modality sum near 1
1,-qDkUB0GgYY$_$5,zero,0.5286440584847174,0.3714691110094912,0.0998868305057913,0.3333333333333333,0.3333333333333333,0.3333333333333334,T,V,False,-0.8660254037844387,0.4668930056550841,within-modality normalization makes each nonzero modality sum near 1
2,0utROiKxejc$_$1,zero,0.4722441406519431,0.10294965754962071,0.42480620179843626,0.4,0.4,0.2,T,T,True,0.0,0.5941006849007586,within-modality normalization makes each nonzero modality sum near 1
3,0utROiKxejc$_$4,zero,0.8606789533917014,0.008049987857762963,0.1312710587505356,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.0546912401167363,within-modality normalization makes each nonzero modality sum near 1
4,0y022OlZ3W0$_$3,zero,0.5957385182476744,0.3845104540971198,0.019751027655205738,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.6271646113562552,within-modality normalization makes each nonzero modality sum near 1
5,0y022OlZ3W0$_$5,zero,0.8037051348313535,0.04140490827441595,0.15488995689423044,0.3333333333333333,0.3333333333333334,0.3333333333333333,T,A,False,-0.8660254037844387,0.9407436029960405,within-modality normalization makes each nonzero modality sum near 1
6,0y022OlZ3W0$_$8,zero,0.6198056634246957,0.2300952113705076,0.15009912520479676,0.4,0.2,0.4,T,T,True,0.0,0.49980174959040646,within-modality normalization makes each nonzero modality sum near 1
7,101787$_$11,zero,0.6101540432868074,0.06552882682632119,0.32431712988687134,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.5536414199069484,within-modality normalization makes each nonzero modality sum near 1
8,101787$_$13,zero,0.3712476990610153,0.07946734522392868,0.5492849557150561,0.3333333333333333,0.3333333333333333,0.33333333333333326,V,T,False,-0.8660254037844387,0.5077319762188095,within-modality normalization makes each nonzero modality sum near 1
9,101787$_$1,zero,0.4537481815107684,0.1317338182687955,0.41451800022043617,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.40319903012907576,within-modality normalization makes each nonzero modality sum near 1
10,101787$_$5,zero,0.8825770133095117,0.0427868018256318,0.07463618486485646,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.0984873599523568,within-modality normalization makes each nonzero modality sum near 1
11,101787$_$7,zero,0.8153281777245353,0.0275109120508437,0.15716091022462098,0.4,0.4,0.2,T,T,True,0.0,0.8306563554490705,within-modality normalization makes each nonzero modality sum near 1
12,101787$_$9,zero,0.7005396724065089,0.09683863686463404,0.20262169072885702,0.39999999999999997,0.4,0.19999999999999993,T,A,False,-0.5,0.6063227262707321,within-modality normalization makes each nonzero modality sum near 1
13,102408$_$2,zero,0.7401664435950388,0.12415640881144656,0.13567714759351476,0.39999999999999997,0.4,0.2,T,A,False,-0.5,0.6803328871900776,within-modality normalization makes each nonzero modality sum near 1
14,102408$_$5,zero,0.12686126175385817,0.6452890099370814,0.22784972830906045,0.3333333333333334,0.3333333333333333,0.3333333333333333,A,T,False,-0.8660254037844387,0.6239113532074962,within-modality normalization makes each nonzero modality sum near 1
15,102408$_$9,zero,0.8083812151599316,0.14725554994092488,0.04436323489914354,0.4,0.2,0.4,T,T,True,0.0,0.8167624303198632,within-modality normalization makes each nonzero modality sum near 1
16,102858$_$20,zero,0.8402010892618861,0.051543492272850766,0.10825541846526326,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.0137355118571054,within-modality normalization makes each nonzero modality sum near 1
17,102858$_$21,zero,0.7720144431986207,0.057381485359639724,0.17060407144173953,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.8773622197305747,within-modality normalization makes each nonzero modality sum near 1
18,102858$_$1,zero,0.5462426537470124,0.14489963301942668,0.30885771323356087,0.4,0.2,0.39999999999999997,T,T,True,1.0,0.2924853074940248,within-modality normalization makes each nonzero modality sum near 1
19,102858$_$0,zero,0.17588267047632708,0.4554623656636685,0.3686549638600044,0.4,0.4,0.2,A,T,False,0.0,0.4482346590473458,within-modality normalization makes each nonzero modality sum near 1
20,102858$_$4,zero,0.4483123228727448,0.17583707260907472,0.3758506045181804,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.3149925214485172,within-modality normalization makes each nonzero modality sum near 1
21,102858$_$6,zero,0.3205349505938308,0.019750949670766384,0.6597140997354028,0.3333333333333333,0.3333333333333333,0.3333333333333333,V,T,False,0.0,0.652761532804139,within-modality normalization makes each nonzero modality sum near 1
22,102858$_$10,zero,0.901287281317593,0.03538163978846136,0.06333107889394562,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.1359078959685194,within-modality normalization makes each nonzero modality sum near 1
23,102858$_$17,zero,0.7890154581102229,0.006737333574176463,0.20424720831560067,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.911364249553779,within-modality normalization makes each nonzero modality sum near 1
24,102858$_$19,zero,0.4725866287118482,0.014129769455609703,0.5132836018325422,0.3333333333333333,0.3333333333333333,0.3333333333333333,V,T,False,0.0,0.6384071277554474,within-modality normalization makes each nonzero modality sum near 1
25,112433$_$10,zero,0.842960616756902,0.03486109106433358,0.12217829217876447,0.4,0.2,0.4,T,T,True,0.8660254037844387,0.885921233513804,within-modality normalization makes each nonzero modality sum near 1
26,112433$_$3,zero,0.6472401423890328,0.12237184630653708,0.2303880113044301,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.6278136181113989,within-modality normalization makes each nonzero modality sum near 1
27,112433$_$7,zero,0.7257225367302325,0.023698009231532466,0.25057945403823506,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.7847784067937983,within-modality normalization makes each nonzero modality sum near 1
28,112433$_$6,zero,0.8923160046338587,0.012990013680545464,0.09469398168559573,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.117965342601051,within-modality normalization makes each nonzero modality sum near 1
29,117tQqLjza4$_$6,zero,0.3983439744316859,0.2994937799062942,0.3021622456620199,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.1300212821967051,within-modality normalization makes each nonzero modality sum near 1
30,11j7EfglCAs$_$2,zero,0.5597827104385105,0.09448073677419536,0.34573655278729415,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.477705193118276,within-modality normalization makes each nonzero modality sum near 1
31,121128$_$10,zero,0.7753936624735213,0.10506642948791148,0.11953990803856729,0.4,0.4,0.2,T,T,True,0.0,0.7507873249470425,within-modality normalization makes each nonzero modality sum near 1
32,121128$_$1,zero,0.8659916809986431,0.021271480056144994,0.11273683894521194,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.0653166953306195,within-modality normalization makes each nonzero modality sum near 1
33,121128$_$0,zero,0.7297602984311005,0.10852099200006321,0.16171870956883638,0.4,0.19999999999999996,0.4,T,T,True,0.8660254037844387,0.6595205968622009,within-modality normalization makes each nonzero modality sum near 1
34,121128$_$5,zero,0.8682719074820794,0.06752206555474705,0.06420602696317348,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.069877148297492,within-modality normalization makes each nonzero modality sum near 1
35,125344$_$0,zero,0.8613963326486308,0.03951644591842604,0.0990872214329431,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,1.0561259986305949,within-modality normalization makes each nonzero modality sum near 1
36,125676$_$0,zero,0.6149908971267466,0.18907200746575925,0.19593709540749413,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.5633151275868266,within-modality normalization makes each nonzero modality sum near 1
37,125676$_$4,zero,0.6785834955531866,0.24750171952183087,0.0739147849249826,0.3333333333333334,0.3333333333333333,0.3333333333333333,T,T,True,0.8660254037844387,0.6905003244397063,within-modality normalization makes each nonzero modality sum near 1
38,128059$_$11,zero,0.8060288559855562,0.04058420560748916,0.1533869384069546,0.3333333333333333,0.3333333333333333,0.3333333333333333,T,T,True,0.0,0.9453910453044456,within-modality normalization makes each nonzero modality sum near 1
